classification,colour
PPxx_OR,#d28212
ESSFwvw,#d76ce5
IDFdh_UT,#dbe33c
CWHxm_OR,#87ec91
PPxw_MT,#cd8f25
CWHwm,#60c87b
IDFww1,#efe937
IDFdc,#ded822
ESSFvcw,#ce6ac4
IDFxx_MT,#e0df7d
ESSFwh3,#b125db
IDFdh,#eedb2c
JPWxh_CA,#a87e86
ESSFwh1,#cd35da
ESSFwh2,#af2cd6
ESSFmw,#ab1cdf
BWBScmNW,#71b5e8
ICHdk,#71de73
IDFdw,#cec622
ICHdm,#71ef65
MSxm_CO,#e875ad
PPxh1,#db8b28
MHmm_WA,#901b92
PPxh2,#c36c09
PPxk_OR,#d3730d
MSdm1,#e03a7a
BGxw1,#d64945
CDFmm_OR,#e1e42b
BGxw2,#d71515
IDFdm_WA,#d5d66c
ESSFmmp,#c684e7
MSdm2,#db4fb8
ESSFxvp,#7145de
BGmk_NV,#e25069
MSdm3,#d12785
ESSFmmw,#c360ed
GBDxx_UT,#9c9969
OWmm_OR,#abce10
SBPSxc,#76e4e5
BGxh_WA,#db1010
BWBSvk,#2c3be0
ICHxwa,#80cd1a
SBSwk1,#1479f4
ICHmc1a,#80d07d
SBSwk2,#437bc9
ESSFxvw,#8c5fca
SBSwk3,#4b70ea
ESSFmc,#c482d6
ESSFwcw,#e613dc
JPWxw_NV,#c37389
ESSFmh,#cd79e0
CMAun,#e8e9f3
SBSwk3a,#7a94e0
ESSFmk,#a317d5
IGFmh_OR,#479fe7
ESSFdh2,#c08fe3
BSJPpa,#3449e8
BWBSdk,#7687e3
BWBSub,#5469f0
ESSFdh1,#d0abee
ESSFvcp,#bf4dc9
SBSmc3,#2cb3ec
MSxh_OR,#d266ae
BSJPap,#4040d6
SWBvk,#a4bed3
BGmk_MT,#e33339
SBAPcp,#7ac0dc
SBSmc1,#55b5f0
SBSmc2,#5e91c8
BWBSuf,#5a5cdf
IDFdkx_MT,#f2e81c
CWHwh_OR,#157232
MSSDun_NV,#807474
ESSFdk_MT,#ad21ee
MSdk,#d23e90
ESSFmkp,#b350d6
ESSFmm2,#ab2bcb
ESSFmm3,#c41be5
ESSFmm1,#b861d4
PPxh_CO,#f4a316
ESSFxc_WA,#a76fcb
ESSFxv1,#a881eb
ESSFdvp,#981dc8
SWBun,#8dc4d2
BWBScm,#286ae2
ESSFxv2,#441aec
ESSFxcw,#a553df
MSdw,#c96caa
CWFds_CA,#3b73ce
ESSFmkw,#b64fcf
CMAun_WA,#eaeada
CWHmm1,#76e7b0
MSdv,#dc70af
IMAun_OR,#dae9eb
CWHmm2,#7edd69
ESSFdvw,#a01dc8
CWHmh_OR,#1dec32
ESSFxw_OR,#7230c8
CWHdm_OC,#36e55f
ESSFwcp,#b22dcf
CWHms_WA,#33e15f
MDCHun_NV,#bd2f12
SBSvk,#1672c9
CWHdm3,#79d31f
ESSFwc4,#db45eb
MSxk2,#e133e1
MSxk3,#cd47bb
ICHdw3,#1cd52f
MSxk1,#df82e3
ICHdw1,#4aef58
IGFmm_OR,#81b8d8
ICHdw4,#4ddf42
CWHdm_OR,#7dd78c
SBPSdc,#2ad1e0
CWHvm_OR,#066d06
MSxx_NV,#e88092
MGPmg,#bb8f3d
JPWwm_CO,#ad737f
BGmw_OR,#c6330a
CMXwm_OR,#dca3da
ESSFxk_WY,#e747d5
MSdw_MT,#dd0ea6
SBSdk,#3b9bd6
MHvhp,#b38dcd
BGxxx_WY,#954419
IDFxh_ID,#c1cb33
SBSun,#2f93f0
ESSFunp,#a52eea
ICHmk5,#41ca3c
ESSFxcp,#ad41ec
ICHmk3,#0ddd0d
CVGdm_CA,#eeb6a9
ESSFdcp,#8817de
ICHmk4,#1de11d
CWHws1,#41e377
ESSFdv1,#bc67dd
ESSFxc3,#871fd0
CWHws2,#41d45c
ESSFdv2,#cb7ee0
ESSFdcw,#9732de
ESSFxh_WA,#c97bef
IMAun_MT,#e5e9f3
ESSFwc2,#c31aed
ESSFwc3,#ca3fec
MSdh_MT,#e6858b
FGnf,#c69b23
IWFdm_CO,#1bd79c
IDFxh_WA,#dfdf27
IWFxm_CA,#20dc85
ICHmh_MT,#64c829
MHds_OR,#9a4dec
SBSdh1,#2955e4
SBSdh2,#129ee9
MHwhp,#bb53ef
ESSFxk_UT,#a97adc
CMAunp,#e4f3ea
CMAun_CA,#def2ea
IDFdxx_WY,#e6c937
ESSFxc_CO,#a72fd2
CWHds1,#36d01b
CWHds2,#2dd42a
ICHxw_WA,#75e67d
ICHmk1,#64e46f
ESSFmww,#e189d1
ICHmk2,#0ddd18
IDFxx_WA,#c3c82c
SASbo,#2d4870
ESSFxc1,#a11ada
ESSFxc2,#ae4ad6
ESSFwh_MT,#bf68ce
ESSFdc1,#c45ad6
MGPmw_MT,#a76e1f
ESSFdc2,#b855cc
ICHmm,#39e639
ESSFdc3,#b782df
IDFdk_MT,#d7e051
IDFxx2,#eded2a
MHRFds_CA,#80718a
PPxw_WY,#ed5f34
MHwh,#b969d8
CCHun_CA,#754862
BGdw_WA,#eb2a24
BWBSpp,#444edb
BSJPku,#6e7aca
ESSFwv,#c031d3
IDFmw2,#ddd313
SWBmks,#79aeb6
IWFxk_NV,#3ae3a8
BGxh2,#d72828
CWHvm4,#20823d
MHms,#876f9b
BGxh3,#e75e63
CMXxm_CA,#bb8fd6
CWHvm2,#258d0e
BGxh1,#e53443
CWHvm3,#1ea444
CWHds_WA,#8def37
ESSFvc,#b525d1
IDFdh_MT,#c3cc18
